experiment,algorithm,nodes,param,keyset,metric,value
A,maglev,100,65537,user,cv_over_floor,0.931715
A,maglev,100,65537,user,peak_over_mean,1.025700
A,maglev,100,65537,user,min_over_mean,0.981600
A,maglev,100,65537,uuid,cv,0.010655
A,maglev,100,65537,uuid,cv_noise_floor,0.010000
A,maglev,100,65537,uuid,cv_over_floor,1.065533
A,maglev,100,65537,uuid,peak_over_mean,1.035000
A,maglev,100,65537,uuid,min_over_mean,0.974300
A,maglev,100,655373,user,cv,0.010453
A,maglev,100,655373,user,cv_noise_floor,0.010000
A,maglev,100,655373,user,cv_over_floor,1.045303
A,maglev,100,655373,user,peak_over_mean,1.025900
A,maglev,100,655373,user,min_over_mean,0.978100
A,maglev,100,655373,uuid,cv,0.009293
A,maglev,100,655373,uuid,cv_noise_floor,0.010000
A,maglev,100,655373,uuid,cv_over_floor,0.929307
A,maglev,100,655373,uuid,peak_over_mean,1.024900
A,maglev,100,655373,uuid,min_over_mean,0.970900
A,slot_table,100,1024,user,cv,0.044448
A,slot_table,100,1024,user,cv_noise_floor,0.010000
A,slot_table,100,1024,user,cv_over_floor,4.444841
A,slot_table,100,1024,user,peak_over_mean,1.101300
A,slot_table,100,1024,user,min_over_mean,0.951100
A,slot_table,100,1024,uuid,cv,0.042965
A,slot_table,100,1024,uuid,cv_noise_floor,0.010000
A,slot_table,100,1024,uuid,cv_over_floor,4.296469
A,slot_table,100,1024,uuid,peak_over_mean,1.096200
A,slot_table,100,1024,uuid,min_over_mean,0.959600
A,ring,1000,1,user,cv,0.995277
A,ring,1000,1,user,cv_noise_floor,0.031623
A,ring,1000,1,user,cv_over_floor,31.473408
A,ring,1000,1,user,peak_over_mean,6.686000
A,ring,1000,1,user,min_over_mean,0.000000
A,ring,1000,1,uuid,cv,0.996213
A,ring,1000,1,uuid,cv_noise_floor,0.031623
A,ring,1000,1,uuid,cv_over_floor,31.503028
A,ring,1000,1,uuid,peak_over_mean,6.739000
A,ring,1000,1,uuid,min_over_mean,0.001000
A,ring,1000,10,user,cv,0.324478
A,ring,1000,10,user,cv_noise_floor,0.031623
A,ring,1000,10,user,cv_over_floor,10.260897
A,ring,1000,10,user,peak_over_mean,2.414000
A,ring,1000,10,user,min_over_mean,0.334000
A,ring,1000,10,uuid,cv,0.324709
A,ring,1000,10,uuid,cv_noise_floor,0.031623
A,ring,1000,10,uuid,cv_over_floor,10.268205
A,ring,1000,10,uuid,peak_over_mean,2.331000
A,ring,1000,10,uuid,min_over_mean,0.317000
A,ring,1000,100,user,cv,0.107737
A,ring,1000,100,user,cv_noise_floor,0.031623
A,ring,1000,100,user,cv_over_floor,3.406947
A,ring,1000,100,user,peak_over_mean,1.451000
A,ring,1000,100,user,min_over_mean,0.720000
A,ring,1000,100,uuid,cv,0.107275
A,ring,1000,100,uuid,cv_noise_floor,0.031623
A,ring,1000,100,uuid,cv_over_floor,3.392343
A,ring,1000,100,uuid,peak_over_mean,1.451000
A,ring,1000,100,uuid,min_over_mean,0.700000
A,ring,1000,160,user,cv,0.082355
A,ring,1000,160,user,cv_noise_floor,0.031623
A,ring,1000,160,user,cv_over_floor,2.604300
A,ring,1000,160,user,peak_over_mean,1.247000
A,ring,1000,160,user,min_over_mean,0.758000
A,ring,1000,160,uuid,cv,0.082631
A,ring,1000,160,uuid,cv_noise_floor,0.031623
A,ring,1000,160,uuid,cv_over_floor,2.613012
A,ring,1000,160,uuid,peak_over_mean,1.279000
A,ring,1000,160,uuid,min_over_mean,0.745000
A,ring,1000,1000,user,cv,0.044834
A,ring,1000,1000,user,cv_noise_floor,0.031623
A,ring,1000,1000,user,cv_over_floor,1.417777
A,ring,1000,1000,user,peak_over_mean,1.136000
A,ring,1000,1000,user,min_over_mean,0.855000
A,ring,1000,1000,uuid,cv,0.043961
A,ring,1000,1000,uuid,cv_noise_floor,0.031623
A,ring,1000,1000,uuid,cv_over_floor,1.390170
A,ring,1000,1000,uuid,peak_over_mean,1.151000
A,ring,1000,1000,uuid,min_over_mean,0.869000
A,ring_ketama,1000,160,user,cv,0.090594
A,ring_ketama,1000,160,user,cv_noise_floor,0.031623
A,ring_ketama,1000,160,user,cv_over_floor,2.864830
A,ring_ketama,1000,160,user,peak_over_mean,1.325000
A,ring_ketama,1000,160,user,min_over_mean,0.729000
A,ring_ketama,1000,160,uuid,cv,0.087642
A,ring_ketama,1000,160,uuid,cv_noise_floor,0.031623
A,ring_ketama,1000,160,uuid,cv_over_floor,2.771483
A,ring_ketama,1000,160,uuid,peak_over_mean,1.355000
A,ring_ketama,1000,160,uuid,min_over_mean,0.749000
A,hrw,1000,0,user,cv,0.031736
A,hrw,1000,0,user,cv_noise_floor,0.031623
A,hrw,1000,0,user,cv_over_floor,1.003593
A,hrw,1000,0,user,peak_over_mean,1.105000
A,hrw,1000,0,user,min_over_mean,0.897000
A,hrw,1000,0,uuid,cv,0.032722
A,hrw,1000,0,uuid,cv_noise_floor,0.031623
A,hrw,1000,0,uuid,cv_over_floor,1.034774
A,hrw,1000,0,uuid,peak_over_mean,1.118000
A,hrw,1000,0,uuid,min_over_mean,0.901000
A,jump,1000,0,user,cv,0.031132
A,jump,1000,0,user,cv_noise_floor,0.031623
A,jump,1000,0,user,cv_over_floor,0.984479
A,jump,1000,0,user,peak_over_mean,1.099000
A,jump,1000,0,user,min_over_mean,0.900000
A,jump,1000,0,uuid,cv,0.029897
A,jump,1000,0,uuid,cv_noise_floor,0.031623
A,jump,1000,0,uuid,cv_over_floor,0.945422
A,jump,1000,0,uuid,peak_over_mean,1.086000
A,jump,1000,0,uuid,min_over_mean,0.900000
A,maglev,1000,65537,user,cv,0.031944
A,maglev,1000,65537,user,cv_noise_floor,0.031623
A,maglev,1000,65537,user,cv_over_floor,1.010162
A,maglev,1000,65537,user,peak_over_mean,1.095000
A,maglev,1000,65537,user,min_over_mean,0.896000
A,maglev,1000,65537,uuid,cv,0.032931
A,maglev,1000,65537,uuid,cv_noise_floor,0.031623
A,maglev,1000,65537,uuid,cv_over_floor,1.041354
A,maglev,1000,65537,uuid,peak_over_mean,1.095000
A,maglev,1000,65537,uuid,min_over_mean,0.884000
A,maglev,1000,655373,user,cv,0.031525
A,maglev,1000,655373,user,cv_noise_floor,0.031623
A,maglev,1000,655373,user,cv_over_floor,0.996909
A,maglev,1000,655373,user,peak_over_mean,1.103000
A,maglev,1000,655373,user,min_over_mean,0.897000
A,maglev,1000,655373,uuid,cv,0.030925
A,maglev,1000,655373,uuid,cv_noise_floor,0.031623
A,maglev,1000,655373,uuid,cv_over_floor,0.977920
A,maglev,1000,655373,uuid,peak_over_mean,1.089000
A,maglev,1000,655373,uuid,min_over_mean,0.895000
A,slot_table,1000,1024,user,cv,0.152328
A,slot_table,1000,1024,user,cv_noise_floor,0.031623
A,slot_table,1000,1024,user,cv_over_floor,4.817020
A,slot_table,1000,1024,user,peak_over_mean,2.020000
A,slot_table,1000,1024,user,min_over_mean,0.880000
A,slot_table,1000,1024,uuid,cv,0.152497
A,slot_table,1000,1024,uuid,cv_noise_floor,0.031623
A,slot_table,1000,1024,uuid,cv_over_floor,4.822394
A,slot_table,1000,1024,uuid,peak_over_mean,2.018000
A,slot_table,1000,1024,uuid,min_over_mean,0.881000
